speed_x,altitude,course,courseVariation,accX,accY,accZ,roll,pitch,yaw,distanceAheadVehicle,timeOfImpactAheadVehicle,behaviour
61.6,613.96,328.84,1.406,0.017,-0.074,0.029,-1.574,0.033,0.082,15.435,0.905,NORMAL
61.65,613.98,328.77,1.406,0.004,-0.036,0.017,-1.575,0.033,0.085,15.36,0.9,NORMAL
61.7,614,328.7,1.406,0.002,-0.012,0.014,-1.576,0.039,0.087,15.48,0.9,NORMAL
61.96,614.03,328.53,1.5115,0.022,0.066,0.037,-1.576,0.045,0.09,15.57,0.91,NORMAL
62.22,614.06,328.36,1.617,-0.011,0.017,0.019,-1.575,0.049,0.093,15.65,0.88,NORMAL
62.48,614.09,328.19,1.7225,-0.033,-0.028,0.01,-1.575,0.054,0.096,15.35,0.86,NORMAL
62.74,614.12,328.02,1.828,-0.004,-0.052,0.032,-1.574,0.056,0.098,15.55,0.87,NORMAL
63,614.15,327.85,1.9335,0.031,0.072,0.021,-1.573,0.055,0.098,15.5,0.87,NORMAL
63.26,614.18,327.68,2.039,0.043,0.052,0.013,-1.572,0.056,0.099,15.47,0.87,NORMAL
63.52,614.21,327.51,2.1445,0.028,0.04,0.043,-1.572,0.056,0.1,16.34,0.91,NORMAL
63.78,614.24,327.34,2.25,0.033,0.011,0.024,-1.569,0.056,0.1,16.82,0.94,NORMAL
64.04,614.27,327.17,2.3555,0.036,0.052,0.029,-1.567,0.056,0.101,17.37,0.97,NORMAL
64.3,614.3,327,2.461,-0.01,-0.009,0.02,-1.567,0.059,0.101,17.98,1.01,NORMAL
64.55,614.33,326.85,2.5313,-0.057,0.023,0.033,-1.574,0.054,0.101,18.44,1.03,NORMAL
64.8,614.36,326.7,2.6016,-0.034,0.042,0.037,-1.58,0.05,0.1,18.82,1.01,NORMAL
65.05,614.39,326.55,2.6719,0.01,0.075,0.027,-1.583,0.04,0.1,19.3,1.04,NORMAL
65.3,614.42,326.4,2.7422,0.018,0.03,0.008,-1.583,0.034,0.1,19.32,1.04,NORMAL
65.55,614.45,326.25,2.8125,-0.008,-0.022,0.016,-1.584,0.031,0.1,-1,-1,NORMAL
65.8,614.48,326.1,2.8828,-0.017,-0.031,0.023,-1.586,0.03,0.101,19.51,1.05,NORMAL
66.05,614.51,325.95,2.9531,-0.019,-0.011,0.014,-1.586,0.03,0.101,-1,-1,NORMAL
66.3,614.54,325.8,3.0234,-0.03,-0.011,0.001,-1.586,0.03,0.101,19.81,1.07,NORMAL
66.55,614.57,325.65,3.0937,-0.014,-0.013,0.024,-1.587,0.03,0.102,-1,-1,NORMAL
66.8,614.6,325.5,3.164,-0.01,-0.023,0.013,-1.589,0.029,0.103,-1,-1,NORMAL
67.01,614.6,325.54,2.9531,0.022,0.031,0.014,-1.59,0.027,0.103,-1,-1,NORMAL
67.22,614.6,325.58,2.7422,-0.012,0.026,-0.001,-1.589,0.027,0.103,-1,-1,NORMAL
67.43,614.6,325.62,2.5313,-0.021,0.008,0.003,-1.588,0.023,0.103,-1,-1,NORMAL
67.64,614.6,325.66,2.3204,-0.044,-0.007,0.013,-1.589,0.025,0.103,-1,-1,NORMAL
67.85,614.6,325.7,2.1095,-0.004,0.021,0.01,-1.59,0.028,0.103,-1,-1,NORMAL
68.06,614.6,325.74,1.8986,0.018,0.023,0.013,-1.589,0.026,0.102,-1,-1,NORMAL
68.27,614.6,325.78,1.6877,-0.005,0.033,0.002,-1.59,0.023,0.101,20.96,1.1,NORMAL
68.48,614.6,325.82,1.4768,-0.007,0.034,0.011,-1.59,0.022,0.1,21.16,1.11,NORMAL
68.69,614.6,325.86,1.2659,0,0.014,0.004,-1.592,0.02,0.099,21.12,1.1,NORMAL
68.9,614.6,325.9,1.055,0.004,-0.012,-0.0025,-1.592,0.0155,0.098,21.285,1.09,NORMAL
69.15,614.6,325.86,0.9847,0.008,-0.038,-0.009,-1.592,0.011,0.097,21.45,1.08,NORMAL
69.4,614.6,325.82,0.9144,-0.024,-0.011,0.01,-1.593,0.01,0.096,21.72,1.095,NORMAL
69.65,614.6,325.78,0.8441,-0.006,0.011,-0.01,-1.592,0.01,0.095,21.99,1.11,NORMAL
69.9,614.6,325.74,0.7738,-0.02,0.008,-0.004,-1.593,0.009,0.094,22.76,1.15,NORMAL
70.15,614.6,325.7,0.7035,-0.018,-0.006,0.001,-1.594,0.005,0.093,22.81,1.15,NORMAL
70.4,614.6,325.66,0.6332,-0.03,0.015,-0.005,-1.594,0.002,0.091,23.07,1.16,NORMAL
70.65,614.6,325.62,0.5629,-0.006,0.02,0.003,-1.594,0.003,0.09,23.27,1.17,NORMAL
70.9,614.6,325.58,0.4926,0.038,0.067,0,-1.596,0.004,0.089,23.21,1.17,NORMAL
71.15,614.6,325.54,0.4223,0.029,0.033,-0.002,-1.595,0.005,0.088,-1,-1,NORMAL
71.4,614.6,325.5,0.352,0.022,0.049,-0.012,-1.594,0.006,0.087,-1,-1,NORMAL
71.61,614.6,325.54,0.352,-0.04,-0.026,-0.007,-1.595,0.006,0.085,-1,-1,NORMAL
71.82,614.6,325.58,0.352,-0.035,0.014,-0.008,-1.595,0.006,0.084,-1,-1,NORMAL
72.03,614.6,325.62,0.352,-0.026,0.012,-0.03,-1.595,0.006,0.083,-1,-1,NORMAL
72.24,614.6,325.66,0.352,-0.037,0.007,-0.026,-1.591,0.004,0.082,-1,-1,NORMAL
72.45,614.6,325.7,0.352,-0.033,0.014,-0.044,-1.59,0.002,0.08,26.37,1.29,NORMAL
72.66,614.6,325.74,0.352,-0.027,0.001,-0.038,-1.586,-0.001,0.079,-1,-1,NORMAL
72.87,614.6,325.78,0.352,-0.002,0.022,-0.054,-1.582,-0.001,0.078,-1,-1,NORMAL
73.08,614.6,325.82,0.352,-0.02,0.014,-0.035,-1.579,-0.002,0.076,27.11,1.33,NORMAL
73.29,614.6,325.86,0.352,-0.012,0.018,-0.054,-1.574,-0.004,0.075,-1,-1,NORMAL
73.5,614.6,325.9,0.352,-0.016,0.01,-0.042,-1.569,-0.006,0.074,-1,-1,NORMAL
73.5,614.57,325.9,0.352,0.001,0.018,-0.033,-1.567,-0.005,0.072,27.17,1.33,NORMAL
73.5,614.54,325.9,0.352,-0.012,-0.015,-0.056,-1.563,-0.001,0.071,27.08,1.33,NORMAL
73.5,614.51,325.9,0.352,-0.007,0.017,-0.038,-1.564,-0.001,0.07,27,1.32,NORMAL
73.5,614.48,325.9,0.352,-0.012,0.002,-0.043,-1.565,-0.001,0.068,27.54,1.35,NORMAL
73.5,614.45,325.9,0.352,-0.04,-0.013,-0.02,-1.565,0,0.067,27.67,1.36,NORMAL
73.5,614.42,325.9,0.352,-0.011,0.01,-0.03,-1.565,0,0.066,28.07,1.37,NORMAL
73.5,614.39,325.9,0.352,0.01,0.023,-0.015,-1.564,0.002,0.065,28.42,1.39,NORMAL
73.5,614.36,325.9,0.352,0.011,0.02,-0.015,-1.563,0.003,0.063,28.69,1.41,NORMAL
73.5,614.33,325.9,0.352,-0.053,0.014,-0.008,-1.564,0.001,0.062,28.92,1.42,NORMAL
73.5,614.3,325.9,0.352,-0.062,0.004,0.006,-1.565,-0.001,0.061,29.45,1.44,NORMAL
73.53,614.3,325.93,0.352,-0.05,0.003,0.032,-1.571,-0.004,0.06,28.69,1.4,NORMAL
73.56,614.3,325.96,0.352,0.003,0.016,0.04,-1.575,-0.007,0.059,28.26,1.38,NORMAL
73.59,614.3,325.99,0.352,0.026,-0.009,0.023,-1.578,-0.008,0.058,28.19,1.38,NORMAL
73.62,614.3,326.02,0.352,0.026,-0.015,0.042,-1.581,-0.011,0.057,28.47,1.39,NORMAL
73.65,614.3,326.05,0.352,0.022,0.001,-0.001,-1.583,-0.015,0.056,29.575,1.445,NORMAL
73.68,614.3,326.08,0.352,0.01,-0.022,0.009,-1.582,-0.017,0.055,30.68,1.5,NORMAL
73.71,614.3,326.11,0.352,-0.047,-0.0175,0.0065,-1.5835,-0.0205,0.0545,30.975,1.515,NORMAL
73.74,614.3,326.14,0.352,-0.104,-0.013,0.004,-1.585,-0.024,0.054,31.27,1.53,NORMAL
73.77,614.3,326.17,0.352,-0.065,0.002,-0.003,-1.587,-0.028,0.054,31.1,1.52,NORMAL
73.8,614.3,326.2,0.352,-0.012,-0.042,0.016,-1.59,-0.032,0.053,31.145,1.52,NORMAL
73.99,614.26,326.28,0.4223,0.052,-0.004,0.017,-1.592,-0.031,0.053,31.19,1.52,NORMAL
74.18,614.22,326.36,0.4926,0.052,-0.01,-0.002,-1.591,-0.033,0.052,30.66,1.46,NORMAL
74.37,614.18,326.44,0.5629,-0.01,-0.013,-0.001,-1.591,-0.034,0.053,30.45,1.45,NORMAL
74.56,614.14,326.52,0.6332,-0.009,0.004,-0.009,-1.592,-0.031,0.052,30.65,1.46,NORMAL
74.75,614.1,326.6,0.7035,-0.026,-0.006,-0.003,-1.592,-0.031,0.053,30.44,1.45,NORMAL
74.94,614.06,326.68,0.7738,-0.031,-0.008,-0.008,-1.591,-0.033,0.054,31.02,1.47,NORMAL
75.13,614.02,326.76,0.8441,-0.027,-0.032,-0.005,-1.592,-0.032,0.055,31.12,1.48,NORMAL
75.32,613.98,326.84,0.9144,-0.008,-0.0245,-0.002,-1.592,-0.0315,0.0555,31.18,1.48,NORMAL
75.51,613.94,326.92,0.9847,0.011,-0.017,0.001,-1.592,-0.031,0.056,30.86,1.47,NORMAL
75.7,613.9,327,1.055,0.002,-0.043,0.001,-1.593,-0.031,0.058,30.95,1.47,NORMAL
75.93,613.96,326.75,0.9847,0.006,-0.055,-0.014,-1.592,-0.031,0.06,30.65,1.46,NORMAL
76.16,614.02,326.5,0.9144,-0.048,-0.057,-0.003,-1.591,-0.025,0.065,30.4,1.43,NORMAL
76.39,614.08,326.25,0.8441,-0.04,-0.034,-0.012,-1.591,-0.023,0.067,30.55,1.43,NORMAL
76.62,614.14,326,0.7738,-0.029,-0.0365,-0.0125,-1.591,-0.022,0.069,-1,-1,NORMAL
76.85,614.2,325.75,0.7035,-0.018,-0.039,-0.013,-1.591,-0.021,0.071,31.24,1.47,NORMAL
77.08,614.26,325.5,0.6332,0.001,-0.061,-0.009,-1.591,-0.019,0.074,-1,-1,NORMAL
77.31,614.32,325.25,0.5629,-0.001,-0.05,-0.002,-1.591,-0.019,0.078,32.42,1.52,NORMAL
77.54,614.38,325,0.4926,-0.019,-0.064,0,-1.59,-0.016,0.083,32.61,1.53,NORMAL
77.77,614.44,324.75,0.4223,-0.012,-0.056,-0.001,-1.59,-0.01,0.088,33.21,1.56,NORMAL
78,614.5,324.5,0.352,-0.014,-0.06,-0.021,-1.589,-0.006,0.092,33.71,1.58,NORMAL
78.03,614.57,324.25,0.5629,-0.005,-0.081,0.006,-1.588,-0.003,0.098,16.355,0.29,NORMAL
78.06,614.64,324,0.7738,-0.043,-0.046,-0.011,-1.587,0,0.103,-1,-1,NORMAL
78.09,614.71,323.75,0.9847,-0.02,-0.049,-0.007,-1.587,0.006,0.108,-1,-1,NORMAL
78.12,614.78,323.5,1.1956,-0.04,-0.056,-0.015,-1.588,0.011,0.113,36.54,1.69,NORMAL
78.15,614.85,323.25,1.4065,-0.035,-0.048,-0.021,-1.587,0.01,0.117,36.99,1.71,NORMAL
78.18,614.92,323,1.6174,-0.02,-0.013,-0.003,-1.589,0.01,0.121,37.94,1.75,NORMAL
78.21,614.99,322.75,1.8283,-0.03,-0.051,-0.01,-1.59,0.01,0.126,38.15,1.76,NORMAL
78.24,615.06,322.5,2.0392,-0.025,-0.015,-0.01,-1.59,0.01,0.131,37.84,1.75,NORMAL
78.27,615.13,322.25,2.2501,0.027,-0.002,0.004,-1.588,0.007,0.135,37.55,1.73,NORMAL
78.3,615.2,322,2.461,0.03,-0.015,-0.013,-1.588,0.01,0.139,37.3,1.72,NORMAL
78.39,615.23,321.86,2.6719,0.032,-0.025,0.002,-1.588,0.017,0.144,37.57,1.73,NORMAL
78.48,615.26,321.72,2.8828,-0.1,0.018,-0.059,-1.588,0.02,0.148,37.3,1.72,NORMAL
78.57,615.29,321.58,3.0937,-0.15,-0.005,-0.016,-1.591,0.024,0.152,36.59,1.68,NORMAL
78.66,615.32,321.44,3.3046,-0.091,0.006,0.001,-1.596,0.025,0.155,35.27,1.62,NORMAL
78.75,615.35,321.3,3.5155,-0.064,0.025,-0.042,-1.595,0.019,0.156,34.695,1.595,NORMAL
78.84,615.38,321.16,3.7264,-0.054,0.053,-0.001,-1.596,0.015,0.157,34.12,1.57,NORMAL
78.93,615.41,321.02,3.9373,0.065,0.093,0.018,-1.597,0.008,0.157,32.83,1.51,NORMAL
79.02,615.44,320.88,4.1482,0.053,0.139,-0.016,-1.595,0.002,0.157,32.02,1.47,NORMAL
79.11,615.47,320.74,4.3591,0.01,0.096,0.007,-1.593,0.002,0.155,31.73,1.46,NORMAL
79.2,615.5,320.6,4.57,-0.008,0.122,0.001,-1.592,0.006,0.154,31.14,1.43,NORMAL
79.2,615.5,320.6,4.4997,0.003,0.083,-0.001,-1.592,0.005,0.153,31.275,1.43,NORMAL
79.2,615.5,320.6,4.4294,0.001,0.061,-0.006,-1.591,0.001,0.151,31.41,1.43,NORMAL
79.2,615.5,320.6,4.3591,-0.032,0.084,-0.019,-1.59,-0.003,0.148,31.24,1.42,NORMAL
79.2,615.5,320.6,4.2888,-0.031,0.077,0.004,-1.592,-0.007,0.146,31.08,1.41,NORMAL
79.2,615.5,320.6,4.2185,-0.007,0.079,0.012,-1.593,-0.009,0.144,30.97,1.41,NORMAL
79.2,615.5,320.6,4.1482,0.007,0.064,-0.017,-1.591,-0.017,0.141,30.79,1.4,NORMAL
79.2,615.5,320.6,4.0779,-0.022,0.069,-0.004,-1.591,-0.022,0.138,31.14,1.42,NORMAL
79.2,615.5,320.6,4.0076,-0.07,0.089,0.004,-1.593,-0.027,0.134,31.28,1.425,NORMAL
79.2,615.5,320.6,3.9373,-0.055,0.079,0.016,-1.594,-0.033,0.131,31.42,1.43,NORMAL
79.2,615.5,320.6,3.867,-0.044,0.09,0.001,-1.596,-0.04,0.127,30.92,1.41,NORMAL
79.29,615.53,320.74,3.6209,0.06,0.063,0.033,-1.597,-0.045,0.124,29.87,1.36,NORMAL
79.38,615.56,320.88,3.3748,0.001,0.12,-0.029,-1.597,-0.051,0.119,29.27,1.32,NORMAL
79.47,615.59,321.02,3.1287,0.032,0.15,-0.011,-1.598,-0.051,0.113,29.12,1.31,NORMAL
79.56,615.62,321.16,2.8826,-0.016,0.078,0.039,-1.598,-0.05,0.106,28.98,1.3,NORMAL
79.65,615.65,321.3,2.6365,0.002,0.108,-0.004,-1.594,-0.055,0.099,28.56,1.28,NORMAL
79.74,615.68,321.44,2.3904,-0.016,0.173,-0.018,-1.592,-0.056,0.092,28.55,1.28,NORMAL
79.83,615.71,321.58,2.1443,-0.062,0.149,0.002,-1.592,-0.063,0.086,28.55,1.28,NORMAL
79.92,615.74,321.72,1.8982,-0.068,0.096,0.025,-1.596,-0.069,0.079,28.53,1.28,NORMAL
80.01,615.77,321.86,1.6521,-0.006,0.053,0.014,-1.599,-0.075,0.073,28.535,1.28,NORMAL
80.1,615.8,322,1.406,0.078,0.031,0.013,-1.598,-0.077,0.067,28.54,1.28,NORMAL
80.14,615.86,322.32,1.7224,0.0475,0.035,0.025,-1.598,-0.077,0.0625,28.54,1.28,NORMAL
80.18,615.92,322.64,2.0388,0.017,0.039,0.037,-1.598,-0.077,0.058,28.55,1.28,NORMAL
80.22,615.98,322.96,2.3552,-0.014,0.044,0.014,-1.598,-0.077,0.056,28.54,1.28,NORMAL
80.26,616.04,323.28,2.6716,-0.02,0.016,0.014,-1.598,-0.076,0.053,29.33,1.31,NORMAL
80.3,616.1,323.6,2.988,-0.011,-0.053,0.041,-1.597,-0.076,0.051,29.45,1.315,NORMAL
80.34,616.16,323.92,3.3044,-0.015,-0.06,0.019,-1.597,-0.078,0.048,29.57,1.32,NORMAL
80.38,616.22,324.24,3.6208,0.042,-0.007,0.044,-1.597,-0.081,0.045,29.77,1.33,NORMAL
80.42,616.28,324.56,3.9372,0.001,0.001,0.044,-1.596,-0.081,0.042,30.35,1.36,NORMAL
80.46,616.34,324.88,4.2536,-0.031,-0.027,0.012,-1.597,-0.076,0.041,30.42,1.36,NORMAL
80.5,616.4,325.2,4.57,-0.018,-0.01,0.047,-1.603,-0.067,0.039,30.645,1.37,NORMAL
80.65,616.47,325.3,4.5349,-0.03,-0.012,-0.002,-1.605,-0.067,0.038,30.87,1.38,NORMAL
80.8,616.54,325.4,4.4998,-0.022,-0.007,0.036,-1.608,-0.066,0.037,31.26,1.37,NORMAL
80.95,616.61,325.5,4.4647,-0.006,-0.024,0.025,-1.611,-0.062,0.036,31.18,1.37,NORMAL
81.1,616.68,325.6,4.4296,-0.012,-0.036,0.028,-1.613,-0.058,0.035,30.75,1.35,NORMAL
81.25,616.75,325.7,4.3945,0.012,-0.011,0.03,-1.615,-0.057,0.034,-1,-1,NORMAL
81.4,616.82,325.8,4.3594,0.05,-0.027,0.046,-1.616,-0.058,0.034,30.45,1.34,NORMAL
81.55,616.89,325.9,4.3243,0.034,-0.032,0.015,-1.618,-0.058,0.033,30.68,1.35,NORMAL
81.7,616.96,326,4.2892,-0.007,-0.017,0.039,-1.622,-0.056,0.032,30.91,1.36,NORMAL
81.85,617.03,326.1,4.2541,-0.009,-0.018,0.031,-1.626,-0.058,0.031,-1,-1,NORMAL
82,617.1,326.2,4.219,-0.048,-0.036,0.039,-1.629,-0.059,0.03,-1,-1,NORMAL
82.24,617.14,326.28,3.9729,-0.024,-0.007,0.052,-1.631,-0.06,0.03,-1,-1,NORMAL
82.48,617.18,326.36,3.7268,-0.019,0.011,0.019,-1.634,-0.056,0.029,-1,-1,NORMAL
82.72,617.22,326.44,3.4807,-0.013,-0.016,0.037,-1.639,-0.052,0.029,-1,-1,NORMAL
82.96,617.26,326.52,3.2346,0.007,-0.028,0.042,-1.644,-0.048,0.028,-1,-1,NORMAL
83.2,617.3,326.6,2.9885,-0.006,-0.029,0.012,-1.647,-0.048,0.028,-1,-1,NORMAL
83.44,617.34,326.68,2.7424,0.015,-0.04,0.046,-1.65,-0.045,0.029,-1,-1,NORMAL
83.68,617.38,326.76,2.4963,0.06,-0.058,0.035,-1.653,-0.039,0.03,-1,-1,NORMAL
83.92,617.42,326.84,2.2502,0.019,-0.06,0.009,-1.652,-0.035,0.032,-1,-1,NORMAL
84.16,617.46,326.92,2.0041,-0.073,-0.065,0.001,-1.652,-0.028,0.035,-1,-1,NORMAL
84.4,617.5,327,1.758,-0.076,-0.059,0.033,-1.656,-0.022,0.038,-1,-1,NORMAL
84.57,617.6,326.92,1.6525,0.007,-0.029,0.026,-1.658,-0.015,0.041,-1,-1,NORMAL
84.74,617.7,326.84,1.547,0.032,-0.062,0.013,-1.658,-0.01,0.045,-1,-1,NORMAL
84.91,617.8,326.76,1.4415,0.014,-0.047,0.004,-1.658,-0.006,0.048,-1,-1,NORMAL
85.08,617.9,326.68,1.336,-0.023,-0.053,0.006,-1.659,-0.001,0.052,-1,-1,NORMAL
85.25,618,326.6,1.2305,-0.009,-0.058,0.026,-1.661,0.003,0.055,-1,-1,NORMAL
85.42,618.1,326.52,1.125,0.004,-0.02,0.007,-1.662,0.005,0.058,-1,-1,NORMAL
85.59,618.2,326.44,1.0195,0.006,-0.025,-0.007,-1.661,0.009,0.06,-1,-1,NORMAL
85.76,618.3,326.36,0.914,0.001,-0.029,-0.01,-1.66,0.012,0.063,-1,-1,NORMAL
85.93,618.4,326.28,0.8085,0.003,0.013,-0.025,-1.658,0.013,0.066,-1,-1,NORMAL
86.1,618.5,326.2,0.703,0.004,0.025,-0.004,-1.656,0.008,0.067,61.41,2.57,NORMAL
86.76,618.55,326.35,0.7733,-0.025,0.004,-0.021,-1.657,0.005,0.069,61.4,2.57,NORMAL
87.42,618.6,326.5,0.8436,-0.008,0.008,0,-1.657,0.004,0.069,61.38,2.38,NORMAL
88.08,618.65,326.65,0.9139,0.015,0.004,-0.014,-1.656,0.003,0.07,61.82,2.4,NORMAL
88.74,618.7,326.8,0.9842,0.014,-0.011,-0.006,-1.655,0.003,0.071,61.36,2.38,NORMAL
89.4,618.75,326.95,1.0545,-0.008,-0.006,-0.01,-1.655,0.003,0.073,61.35,2.38,NORMAL
90.06,618.8,327.1,1.1248,-0.011,0.01,-0.005,-1.655,0.003,0.074,60.76,2.36,NORMAL
90.72,618.85,327.25,1.1951,-0.022,0.006,-0.004,-1.652,0,0.075,-1,-1,NORMAL
91.38,618.9,327.4,1.2654,-0.028,0.029,-0.017,-1.649,-0.004,0.076,29.335,0.66,NORMAL
92.04,618.95,327.55,1.3357,-0.029,0.013,-0.015,-1.648,-0.007,0.076,59.67,2.32,NORMAL
92.7,619,327.7,1.406,-0.041,0.007,-0.005,-1.648,-0.009,0.077,59.81,2.32,NORMAL
92.89,619.1,327.41,1.5466,-0.012,0.008,0.013,-1.649,-0.01,0.078,58.65,2.28,NORMAL
93.08,619.2,327.12,1.6872,0.016,0.025,-0.016,-1.648,-0.015,0.078,58.16,2.21,NORMAL
93.27,619.3,326.83,1.8278,0.017,0.054,-0.024,-1.645,-0.023,0.078,31.11,1.18,NORMAL
